Estado,ultima_actualizacion,probables,confirmados,descartados,muertos
Aguascalientes,2020-04-11 14:30,89,55,630,1
Baja California,2020-04-11 14:30,548,278,733,20
Baja California Sur,2020-04-11 14:30,288,102,374,2
Campeche,2020-04-11 14:30,5,18,69,1
Chiapas,2020-04-11 14:30,63,39,215,1
Chihuahua,2020-04-11 14:30,121,54,187,12
Ciudad de México,2020-04-11 14:30,2152,1117,3769,49
Coahuila,2020-04-11 14:30,818,156,786,11
Colima,2020-04-11 14:30,22,7,86,0
Durango,2020-04-11 14:30,83,16,256,4
Guanajuato,2020-04-11 14:30,233,81,1379,5
Guerrero,2020-04-11 14:30,140,56,243,6
Hidalgo,2020-04-11 14:30,28,53,359,8
Jalisco,2020-04-11 14:30,704,150,2200,11
Michoacán,2020-04-11 14:30,139,50,417,8
Morelos,2020-04-11 14:30,72,40,241,7
México,2020-04-11 14:30,782,498,1689,19
Nayarit,2020-04-11 14:30,33,21,141,4
Nuevo León,2020-04-11 14:30,1342,119,1527,5
Oaxaca,2020-04-11 14:30,58,43,309,2
Puebla,2020-04-11 14:30,308,243,639,18
Queretaro,2020-04-11 14:30,67,57,389,3
Quintana Roo,2020-04-11 14:30,186,216,395,18
San Luis Potosí,2020-04-11 14:30,159,51,689,4
Sinaloa,2020-04-11 14:30,279,214,571,24
Sonora,2020-04-11 14:30,159,65,401,5
Tabasco,2020-04-11 14:30,310,143,502,12
Tamaulipas,2020-04-11 14:30,142,49,355,3
Tlaxcala,2020-04-11 14:30,93,38,260,1
Veracruz,2020-04-11 14:30,419,73,768,3
Yucatán,2020-04-11 14:30,95,103,463,4
Zacatecas,2020-04-11 14:30,46,14,235,2
