Estado,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09
Aguascalientes,74,81,57,53,43,75,122,164,183,111,81
Baja California,135,174,185,213,231,242,201,245,345,422,467
Baja California Sur,24,35,45,62,78,81,92,141,149,270,313
Campeche,11,2,9,13,21,9,10,15,12,17,10
Chiapas,24,31,36,45,46,67,52,65,80,77,80
Chihuahua,21,16,22,24,39,42,29,52,68,76,94
Ciudad de México,434,517,591,757,862,938,697,1100,1350,1782,2185
Coahuila,116,140,162,179,226,303,222,391,550,753,824
Colima,11,8,9,12,16,20,19,22,19,30,30
Durango,23,18,24,28,26,51,48,78,84,113,116
Guanajuato,79,130,173,200,237,214,162,164,242,286,290
Guerrero,47,80,84,102,108,118,112,128,145,149,141
Hidalgo,52,66,60,65,71,82,73,79,87,91,63
Jalisco,275,377,496,638,686,769,774,703,752,862,814
Michoacán,65,70,61,71,78,67,49,82,134,181,195
Morelos,16,34,36,31,45,62,45,57,51,62,56
México,318,371,340,406,430,488,434,572,609,793,831
Nayarit,13,19,20,27,46,33,18,27,37,40,41
Nuevo León,161,148,109,80,145,165,203,142,333,551,687
Oaxaca,30,50,25,46,73,56,30,81,61,76,81
Puebla,88,121,103,122,178,220,199,222,262,340,409
Queretaro,43,61,67,67,52,59,37,48,58,68,73
Quintana Roo,35,43,50,97,119,115,110,148,171,200,217
San Luis Potosí,65,83,74,104,152,125,111,154,187,156,169
Sinaloa,77,125,132,181,234,253,248,271,329,365,390
Sonora,62,98,119,148,152,131,114,141,176,173,194
Tabasco,130,178,233,277,326,352,342,331,293,362,360
Tamaulipas,32,54,61,70,80,83,67,82,111,102,126
Tlaxcala,51,64,66,76,78,71,72,75,83,92,94
Veracruz,188,266,305,353,403,430,404,412,429,395,443
Yucatán,18,25,34,72,69,61,68,64,88,148,170
Zacatecas,34,26,39,34,46,45,45,39,48,45,61
